D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.509823,0.657656,0.742069,7.0,119.68184,1508.046676,0.0,0.00975,0.011017,0.259493,0.124257,40.25617,39.0,1.2355707669440987,0.0
0.636013,0.419258,1.198443,2.0,127.562316,861.622773,0.0,0.016,0.013599,0.572207,0.197462,28.693378,39.0,1.897808185878802,0.0
0.768315,0.727828,1.321225,7.0,96.004531,497.927665,0.0,0.00975,0.008941,0.467147,0.287074,20.03106,39.0,0.6272703205445286,0.0
0.530700,0.979492,0.664651,3.0,125.908629,1618.327949,0.0,0.01475,0.013372,0.126352,0.101751,44.969131,39.0,0.39483113462275543,0.0
0.539926,0.975221,0.77435,6.0,116.629397,1334.019109,0.0,0.011,0.011178,0.178613,0.138109,37.713319,39.0,0.3091997378526925,0.0
0.661499,0.725435,1.061327,5.0,104.146869,764.904355,0.0,0.01225,0.0106,0.343239,0.216341,26.493233,39.0,0.5865647288308735,0.0
0.769734,0.394187,0.924461,6.0,86.594319,633.57938,0.0,0.011,0.009381,0.478825,0.225015,25.535264,39.0,1.127969246494678,0.0
0.778852,0.452875,1.046852,4.0,91.455882,598.34621,0.0,0.0135,0.010254,0.459637,0.235665,24.400918,39.0,0.9503829588610951,0.0
0.709450,0.319048,0.748153,7.0,93.340037,823.392623,0.0,0.00975,0.009464,0.46875,0.183174,30.586332,39.0,1.5590422221494316,0.0
0.614941,0.987859,0.92898,6.0,106.836711,924.442899,0.0,0.011,0.01057,0.224609,0.189202,29.765411,39.0,0.18713861375672558,0.0
0.789303,0.819151,1.138491,3.0,96.779905,534.595788,0.0,0.01475,0.011117,0.307831,0.260619,22.093662,39.0,0.18115333110786255,0.0
0.777612,0.850644,1.066156,3.0,95.866686,571.239916,0.0,0.01475,0.011229,0.271046,0.247356,23.258417,39.0,0.09577289412830098,0.0
0.530518,0.375122,1.216157,3.0,144.352584,1209.820339,0.0,0.01475,0.01324,0.682291,0.162803,33.606198,39.0,3.190899430600173,0.0
0.604969,0.401983,1.236141,4.0,124.126837,906.410746,0.0,0.0135,0.011457,0.66773,0.197331,28.711579,39.0,2.3838069031221654,0.0
0.648954,0.967463,0.566227,4.0,106.019622,1240.607287,0.0,0.0135,0.011095,0.094037,0.114487,42.15478,39.0,0.08089179487179493,0.0
0.523575,0.864089,1.159331,6.0,131.385185,1107.374338,0.0,0.011,0.011363,0.365853,0.184862,30.357935,39.0,1.0110058445732308,0.0
0.682621,1.017474,0.809663,4.0,97.98806,859.270056,0.0,0.0135,0.011034,0.160351,0.182293,30.711977,39.0,0.0,1.0
0.638814,0.540119,1.056559,7.0,103.908219,810.552026,0.0,0.00975,0.009886,0.472695,0.21074,27.111528,39.0,1.2567814078885935,0.0
0.712560,0.529943,1.070634,6.0,95.619865,665.782292,0.0,0.011,0.009719,0.458677,0.231473,24.840046,39.0,0.9815572442574295,0.0
0.727036,0.823137,0.582228,6.0,90.114502,934.388988,0.0,0.011,0.009528,0.123015,0.150621,35.569863,39.0,0.0,1.0
0.537561,0.343538,0.880333,6.0,116.567285,1296.408545,0.0,0.011,0.011067,0.561468,0.145055,36.489524,39.0,2.876778931969723,0.0
0.572973,0.737906,0.886012,4.0,115.011031,1133.579299,0.0,0.0135,0.012037,0.264125,0.160181,34.008272,39.0,0.6489159138724319,0.0
0.540029,0.975603,1.093134,7.0,124.215195,1057.420457,0.0,0.00975,0.010839,0.307626,0.188224,29.899444,39.0,0.7348317097821884,0.0
0.593285,0.912501,1.175853,5.0,119.680422,870.102591,0.0,0.01225,0.011195,0.33876,0.211487,27.029151,39.0,0.6018005834874011,0.0
0.618290,0.419354,1.169917,5.0,114.953772,869.598885,0.0,0.01225,0.010764,0.624206,0.201841,28.152042,39.0,2.0925629579718694,0.0
0.638094,0.678623,1.294437,2.0,128.143739,755.690438,0.0,0.016,0.013663,0.464248,0.227702,25.247999,39.0,1.038840238557413,0.0
0.581168,0.663146,0.549332,7.0,108.847943,1426.489597,0.0,0.00975,0.010224,0.1616,0.10863,43.407929,39.0,0.6470038444472769,0.0
0.778452,0.897912,0.687155,5.0,85.127465,748.59247,0.0,0.01225,0.009701,0.136111,0.183675,30.512356,39.0,0.0,1.0
0.566672,1.018169,1.226296,3.0,125.409912,913.432238,0.0,0.01475,0.013024,0.336623,0.210854,27.102313,39.0,0.5964743376933802,0.0
0.598683,0.814529,0.987198,7.0,108.777356,928.361308,0.0,0.00975,0.010291,0.305624,0.19433,29.1013,39.0,0.62527642835298,0.0
0.800000,0.892618,1.100976,7.0,0.0,504.299505,0.0,0.00975,0.008964,0.296596,0.272745,21.124048,39.0,0.08744798254780109,0.0
0.636013,0.419258,1.198443,3.0,0.0,845.708188,0.0,0.01475,0.012135,0.593576,0.20174,28.163398,39.0,1.9422821453355803,0.0
0.768315,0.745111,0.770531,7.0,0.0,684.721206,0.0,0.00975,0.009128,0.210495,0.206883,27.545551,39.0,0.017459143573903976,0.0
0.530700,0.3,0.71146,3.0,0.0,1604.359864,0.0,0.01475,0.012926,0.424678,0.103399,44.580994,39.0,3.2502794622588467,0.0
0.539926,0.975221,1.116009,5.0,0.0,1066.985774,0.0,0.01225,0.01178,0.304518,0.186268,30.164167,39.0,0.634837975390298,0.0
0.575750,0.725435,1.095775,7.0,0.0,948.746003,0.0,0.00975,0.010426,0.396354,0.198213,28.601092,39.0,1.0644746596374768,0.0
0.769734,0.394187,0.924461,6.0,0.0,633.57938,0.0,0.011,0.009381,0.478825,0.225015,25.535264,39.0,1.127969246494678,0.0
0.779853,0.947332,0.952648,4.0,89.658531,601.439977,89.658531,0.0135,0.010395,0.210908,0.234123,24.558604,39.0,0.0,1.0
0.709450,0.384573,0.748153,7.0,0.0,819.146284,0.0,0.00975,0.009456,0.392866,0.184295,30.428594,39.0,1.1317235953227165,0.0
