D, Z, AEdAO, PdD, P_B, n,etaO,etaR, t075dD,tmin075dD, tal07R,cavLim, Vtip,Vtipmax, fitness, iteration, population i 
0.638262,6,0.971475,0.989621,136.322948,903.721317,0.301309,1.012020,0.011000,0.010838,0.249593,0.185712,30.201762,39.000000,0.000000,0,1
0.634657,2,0.625254,0.827603,147.561418,1122.272081,0.275559,1.022268,0.016000,0.014420,0.247874,0.140250,37.293712,39.000000,0.000000,0,2
0.653351,7,0.696945,1.024212,131.508493,847.212297,0.313130,1.009832,0.009750,0.010255,0.363000,0.194948,28.982597,39.000000,0.000000,0,3
0.772344,2,0.362755,0.973515,122.649292,740.181398,0.335490,1.013039,0.016000,0.012733,0.457564,0.187637,29.932804,39.000000,0.000000,0,4
0.605987,2,0.529189,0.513166,141.597644,1697.319604,0.281522,1.042156,0.016000,0.013964,0.143522,0.067584,53.854963,39.000000,0.000000,0,5
0.799247,6,0.442449,0.717673,107.242453,741.553998,0.377880,1.029221,0.011000,0.009603,0.304485,0.179780,31.032911,39.000000,0.000000,0,6
0.682154,3,0.512835,0.563240,122.077822,1234.239224,0.328038,1.038989,0.014750,0.011917,0.175028,0.105444,44.083925,39.000000,0.000000,0,7
0.732654,2,0.942915,1.097510,132.965468,675.449415,0.311636,1.005196,0.016000,0.013484,0.269420,0.221381,25.911375,39.000000,0.000000,0,8
0.595087,2,0.538616,0.962800,162.703702,1167.572318,0.251815,1.013717,0.016000,0.014979,0.357439,0.145526,36.380041,39.000000,0.000000,0,9
0.797606,2,0.935349,1.306946,124.184104,510.383832,0.338571,0.991949,0.016000,0.012561,0.353912,0.269618,21.314945,39.000000,0.000000,0,10
0.780029,4,0.594574,1.252885,129.842099,577.727414,0.322576,0.995369,0.013500,0.010680,0.471168,0.243321,23.595667,39.000000,0.000000,0,11
0.724487,5,0.314112,0.550277,116.834951,1054.997891,0.342797,1.039809,0.012250,0.010352,0.304873,0.125372,40.020341,39.000000,0.000000,0,12
0.638531,2,0.822003,1.337852,158.883854,775.332073,0.264284,0.989994,0.016000,0.014152,0.439353,0.221339,25.921983,39.000000,0.000000,0,13
0.508393,5,0.437990,1.310713,193.696561,1323.847191,0.215812,0.991711,0.012250,0.012270,0.712972,0.152466,35.239997,39.000000,0.000000,0,14
0.543380,2,1.010150,1.214237,167.319027,1076.717194,0.248498,0.997813,0.016000,0.015563,0.345713,0.182658,30.634030,39.000000,0.000000,0,15
0.537079,3,0.943260,0.745866,161.070932,1579.084935,0.250662,1.027438,0.014750,0.014018,0.160211,0.104055,44.406068,39.000000,0.000000,0,16
0.593837,2,0.804298,1.123037,166.889311,1003.767502,0.247967,1.003582,0.016000,0.015135,0.340013,0.178643,31.210369,39.000000,0.000000,0,17
0.744308,4,0.924341,1.075056,125.430861,659.965284,0.329961,1.006616,0.013500,0.011110,0.268227,0.223028,25.720102,39.000000,0.000000,0,18
0.546276,5,0.838124,0.859864,151.947136,1350.146155,0.267636,1.020227,0.012250,0.012160,0.236591,0.133184,38.618172,39.000000,0.000000,0,19
0.688554,3,0.447133,0.968164,133.386300,879.856459,0.307866,1.013377,0.014750,0.012258,0.418902,0.175224,31.721107,39.000000,0.000000,0,20
