D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid,seed,iteration
0.500000,0.632253,1.229037,3.0,0.0,1365.143086,0.0,0.01475,0.014619,0.485133,0.149439,35.739362,39.0,2.2463613916046015,0.0,7,0
0.616731,1.009245,0.978555,6.0,0.0,969.884248,0.0,0.011,0.011034,0.239264,0.177903,31.319474,39.0,0.34799406194363,0.0,7,0
0.701451,0.305708,1.21426,2.0,0.0,808.83697,0.0,0.016,0.013232,0.718901,0.189349,29.706893,39.0,2.796698160539533,0.0,7,0
0.705515,0.415867,0.885771,5.0,0.0,846.396282,0.0,0.01225,0.010601,0.431139,0.178228,31.266471,39.0,1.4190306798033978,0.0,7,0
0.672285,0.736772,0.873543,2.0,0.0,957.956068,0.0,0.016,0.014122,0.230802,0.161815,33.720806,39.0,0.426332540246578,0.0,7,0
0.562460,0.437228,1.123933,4.0,0.0,1178.72587,0.0,0.0135,0.012556,0.566858,0.155599,34.713866,39.0,2.643069685537825,0.0,7,0
0.500992,0.816945,1.190962,3.0,0.0,1328.50456,0.0,0.01475,0.014691,0.388733,0.154793,34.849158,39.0,1.511308650907987,0.0,7,0
0.747822,0.469954,0.85234,3.0,0.0,807.428137,0.0,0.01475,0.011707,0.328196,0.175901,31.615547,39.0,0.8657995122256268,0.0,7,0
0.500000,0.982459,0.834846,7.0,0.0,1578.420083,0.0,0.00975,0.011784,0.210091,0.118507,41.322941,39.0,1.00498462235548,0.0,7,0
0.603515,0.642159,0.764888,3.0,0.0,1266.431275,0.0,0.01475,0.013103,0.228956,0.125404,40.019172,39.0,0.8518798004823794,0.0,7,0
0.605766,0.913782,0.983845,7.0,0.0,988.856857,0.0,0.00975,0.010715,0.273778,0.177608,31.364409,39.0,0.6315340196784806,0.0,7,0
0.576900,0.315787,1.055239,3.0,0.0,1219.559196,0.0,0.01475,0.013215,0.650022,0.14285,36.838529,39.0,3.5503815190759536,0.0,7,0
0.739361,0.681308,1.374275,5.0,0.0,593.549712,0.0,0.01225,0.010234,0.501349,0.24996,22.978011,39.0,1.0057169147063534,0.0,7,0
0.800000,0.718953,1.023615,2.0,0.0,626.403266,0.0,0.016,0.012942,0.281751,0.218306,26.238719,39.0,0.2906241697433876,0.0,7,0
0.771177,1.0181,1.4,3.0,0.0,513.535302,0.0,0.01475,0.01131,0.378105,0.277246,20.735896,39.0,0.3637888373502234,0.0,7,0
0.653524,0.994484,0.630411,5.0,0.0,1204.624536,0.0,0.01225,0.010955,0.11448,0.119001,41.220367,39.0,0.056932487179487255,0.0,7,0
0.643280,0.366859,1.14454,2.0,0.0,959.512842,0.0,0.016,0.014076,0.594319,0.17141,32.318372,39.0,2.4672364506154834,0.0,7,0
0.500000,0.784343,1.01919,7.0,0.0,1406.166237,0.0,0.00975,0.011724,0.347567,0.143014,36.813346,39.0,1.5986730991070883,0.0,7,0
0.504665,1.05,1.004764,3.0,0.0,1416.279114,0.0,0.01475,0.014664,0.245626,0.139556,37.424039,39.0,0.7600533119321276,0.0,7,0
0.550413,0.901376,0.918719,2.0,0.0,1311.514631,0.0,0.016,0.015782,0.229587,0.137503,37.797304,39.0,0.6696872068245786,0.0,7,0
0.559643,0.3,1.143329,3.0,0.0,1255.223907,0.0,0.01475,0.013365,0.748615,0.143182,36.78161,39.0,4.228415582964339,0.0,7,0
0.635026,0.366257,1.178739,6.0,0.0,893.844829,0.0,0.011,0.010573,0.727954,0.189275,29.720246,39.0,2.8460124157971207,0.0,7,0
0.769836,0.392157,0.5,3.0,0.0,1060.340721,0.0,0.01475,0.011099,0.186888,0.111588,42.740783,39.0,0.7707212551583985,0.0,7,0
0.620917,0.330547,0.63348,6.0,0.0,1277.965147,0.0,0.011,0.01077,0.376871,0.117348,41.548088,39.0,2.276902893830579,0.0,7,0
0.794585,0.972403,1.065557,4.0,0.0,586.64687,0.0,0.0135,0.010758,0.246119,0.235171,24.407084,39.0,0.04655335904512042,0.0,7,0
0.571845,0.631764,1.058032,2.0,0.0,1163.118836,0.0,0.016,0.015443,0.36995,0.154915,34.825799,39.0,1.3880837878836783,0.0,7,0
0.785537,0.3,0.675629,4.0,0.0,831.064348,0.0,0.0135,0.010467,0.380643,0.158823,34.182193,39.0,1.3966490999414445,0.0,7,0
0.800000,0.702217,1.127542,7.0,0.0,548.396862,0.0,0.00975,0.009285,0.384735,0.249989,22.971194,39.0,0.5390077163395189,0.0,7,0
0.559764,0.594795,1.215627,3.0,0.0,1116.08518,0.0,0.01475,0.013758,0.48574,0.168646,32.711515,39.0,1.8802343370136263,0.0,7,0
0.516363,0.854674,1.287244,3.0,0.0,1186.567441,0.0,0.01475,0.014305,0.423053,0.172952,32.080861,39.0,1.4460717424487721,0.0,7,0
0.618715,1.05,1.229037,7.0,0.0,833.952344,0.0,0.00975,0.010488,0.327682,0.211253,27.016602,39.0,0.6215015012149205,0.0,7,1
0.616731,1.009245,0.768993,7.0,0.0,1123.842465,0.0,0.00975,0.010605,0.169281,0.146051,36.291088,39.0,0.2396763770211171,0.0,7,1
0.763734,1.05,0.953762,6.0,116.644613,662.298198,116.644613,0.011,0.009956,0.204537,0.216001,26.484647,39.0,0.0,1.0,7,1
0.705515,0.941696,1.334708,7.0,0.0,625.277144,0.0,0.00975,0.009702,0.390749,0.248659,23.098175,39.0,0.5714251243671052,0.0,7,1
0.672285,1.05,0.989629,7.0,0.0,808.646023,0.0,0.00975,0.010234,0.233173,0.198973,28.464975,39.0,0.21917595317855165,0.0,7,1
0.709400,0.56344,1.038173,3.0,0.0,782.719582,0.0,0.01475,0.012205,0.378264,0.194226,29.073395,39.0,0.9475456427048901,0.0,7,1
0.760291,0.739892,0.653691,7.0,0.0,849.860377,0.0,0.00975,0.009498,0.167555,0.16107,33.831875,39.0,0.04026199788911665,0.0,7,1
0.658326,0.3,0.85234,5.0,0.0,1000.374317,0.0,0.01225,0.010903,0.563105,0.156988,34.482793,39.0,2.5869302112263357,0.0,7,1
0.602827,0.982459,1.175499,7.0,0.0,898.632883,0.0,0.00975,0.010664,0.330619,0.199812,28.364386,39.0,0.7403592985808761,0.0,7,1
0.642858,1.042667,0.764888,6.0,0.0,1060.503028,0.0,0.011,0.010734,0.15532,0.149668,35.696507,39.0,0.03776358339792085,0.0,7,1
0.734577,0.420425,0.983845,7.0,0.0,716.48814,0.0,0.00975,0.009659,0.516291,0.206466,27.557843,39.0,1.5006102699718114,0.0,7,1
