D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.780002,1.05,0.556721,7.0,116.742227,937.758876,116.742227,0.00975,0.009315,0.085595,0.134782,38.298841,39.0,0.0,1.0
0.617413,0.727038,0.504032,2.0,153.400838,1679.015384,288.616334,0.016,0.014114,0.098771,0.066303,54.278654,39.0,0.8814516248295994,0.0
0.728139,0.668306,0.836613,3.0,124.316492,840.332816,169.82893,0.01475,0.011998,0.236554,0.17316,32.037915,39.0,0.366100716100716,0.0
0.800000,0.760425,1.4,5.0,130.188155,500.400312,218.198515,0.01225,0.009838,0.459614,0.274229,20.960719,39.0,0.6760225942551664,0.0
0.559612,0.46161,1.389252,4.0,187.655559,1078.53944,752.395031,0.0135,0.012298,0.70586,0.176049,31.602517,39.0,3.0094519139557736,0.0
0.568279,0.98694,1.118382,2.0,162.604785,1056.071935,274.123637,0.016,0.015382,0.298776,0.177228,31.423451,39.0,0.6858284244024646,0.0
0.586901,0.62335,1.4,6.0,171.653246,917.284553,508.006034,0.011,0.010874,0.595618,0.201257,28.188213,39.0,1.9594896078148833,0.0
0.683994,0.763626,0.540583,4.0,126.28474,1244.151437,157.028397,0.0135,0.011171,0.113813,0.103379,44.557817,39.0,0.24343771738668346,0.0
0.500000,0.848532,0.907056,3.0,177.002602,1581.303319,381.057063,0.01475,0.014735,0.247036,0.118124,41.398424,39.0,1.1528258085540706,0.0
0.593395,0.449253,0.994699,7.0,142.791415,1065.201905,463.225502,0.00975,0.010676,0.524095,0.165994,33.095919,39.0,2.2440495203948494,0.0
0.773061,0.718944,0.58003,7.0,113.361865,894.720878,113.361865,0.00975,0.009385,0.143031,0.14646,36.215956,39.0,0.0,1.0
0.759841,0.370371,1.207266,5.0,125.782294,636.307426,381.290001,0.01225,0.010117,0.687013,0.226636,25.315607,39.0,2.0313498296828394,0.0
0.800000,0.564487,0.549824,7.0,112.995167,864.985566,129.972566,0.00975,0.00927,0.168344,0.146354,36.232431,39.0,0.1502521284010002,0.0
0.704797,0.722459,1.238787,5.0,137.189085,680.563119,253.038449,0.01225,0.010647,0.421499,0.228523,25.114871,39.0,0.8444489176144195,0.0
0.800000,0.605968,1.138379,6.0,115.184001,560.012736,202.085904,0.011,0.009594,0.429384,0.244739,23.457759,39.0,0.754456788660573,0.0
0.758475,0.944122,0.592885,6.0,114.960137,940.942454,114.960137,0.011,0.009757,0.106815,0.139806,37.368277,39.0,0.0,1.0
0.675503,0.310573,0.988657,2.0,136.15927,958.602239,468.951232,0.016,0.013526,0.553211,0.160624,33.905056,39.0,2.4441366171929477,0.0
0.719797,0.310878,0.550789,6.0,121.340827,1048.236115,304.577708,0.011,0.01006,0.320321,0.128276,39.506402,39.0,1.51010805685657,0.0
0.669346,0.50336,1.11293,2.0,154.683885,866.076217,375.112297,0.016,0.014049,0.44767,0.184604,30.353265,39.0,1.42502871010379,0.0
0.648534,0.661635,0.890821,2.0,148.097676,1020.897186,250.09513,0.016,0.014366,0.263209,0.155863,34.66677,39.0,0.6887202222464602,0.0
0.535202,0.37866,1.4,2.0,212.149377,1234.656111,1073.600511,0.016,0.015186,0.791027,0.156311,34.598931,39.0,4.060597142875421,0.0
0.703909,0.921154,0.593446,3.0,132.134198,1145.39018,143.027385,0.01475,0.012047,0.100289,0.114071,42.215173,39.0,0.08244033333333334,0.0
0.686668,1.027848,0.5,2.0,170.605941,1454.946553,228.83477,0.016,0.013876,0.060397,0.072538,52.310934,39.0,0.34130600000000005,0.0
0.723363,0.500426,0.83524,6.0,116.224738,812.847596,221.681959,0.011,0.010072,0.34621,0.181513,30.786764,39.0,0.9073564978816945,0.0
0.500000,0.466355,1.4,7.0,200.703794,1284.793507,991.164339,0.00975,0.011262,0.780301,0.162421,33.635815,39.0,3.9384446748632356,0.0
0.763908,0.480783,0.5,3.0,111.973246,1080.588998,167.230664,0.01475,0.011183,0.151488,0.109358,43.221523,39.0,0.4934926295319866,0.0
0.582288,0.522701,1.237885,3.0,176.114462,1044.899509,546.065675,0.01475,0.013391,0.540648,0.174367,31.857448,39.0,2.100632573824176,0.0
0.744442,0.752283,1.295662,5.0,133.438505,597.072656,230.669424,0.01225,0.010322,0.426517,0.246733,23.273231,39.0,0.7286581041044367,0.0
0.776428,0.755644,0.647994,6.0,109.363795,834.882209,109.363795,0.011,0.00968,0.155895,0.160362,33.941023,39.0,0.0,1.0
0.535938,0.889043,0.701789,3.0,160.777607,1661.206354,290.557076,0.01475,0.013953,0.153302,0.095106,46.616153,39.0,0.8071926889721428,0.0
fitness at iteration,1,,,,,109.363795,,,,,,,,0.0
0.548611,1.05,0.556721,7.0,153.140329,1785.08815,263.404773,0.00975,0.010934,0.09878,0.076164,51.277056,39.0,0.7200205738290157,0.0
0.617413,0.727038,0.504032,2.0,153.400838,1679.015384,288.616334,0.016,0.014114,0.098771,0.066303,54.278654,39.0,0.8814516248295994,0.0
