D, Z, AEdAO, PdD, P_B, n,etaO,etaR, t075dD,tmin075dD, tal07R,cavLim, Vtip,Vtipmax, fitness, iteration, population i 
0.723735,5,0.794533,1.400000,142.546716,601.629322,0.296269,0.986064,0.012250,0.010338,0.459740,0.251965,22.798548,39.000000,260.093124,1,1
0.784999,6,0.502714,1.235511,121.463042,565.471253,0.344482,0.996468,0.011000,0.009583,0.563494,0.247036,23.242243,39.000000,277.059164,1,2
0.569070,6,0.659108,0.735307,140.411712,1365.378450,0.287543,1.028105,0.011000,0.011261,0.241675,0.121814,40.683411,39.000000,287.891219,1,3
0.613464,5,0.472252,0.804644,133.178357,1156.042685,0.304739,1.023720,0.012250,0.011327,0.352746,0.141157,37.133131,39.000000,332.807957,1,4
0.553371,7,0.973127,0.687801,149.183069,1487.774934,0.269770,1.031110,0.009750,0.011081,0.152689,0.109930,43.107458,39.000000,240.841565,1,5
0.647772,2,0.300000,0.633817,121.824673,1328.754144,0.329904,1.034525,0.016000,0.013346,0.324039,0.101229,45.067703,39.000000,408.920068,1,6
0.541622,7,0.704988,0.500000,151.841351,1891.364907,0.261949,1.042989,0.009750,0.010946,0.136212,0.068259,53.637673,39.000000,376.577963,1,7
0.509948,6,0.597004,1.314442,188.828142,1244.699085,0.221438,0.991475,0.011000,0.011785,0.584212,0.165081,33.234480,39.000000,680.822902,1,8
0.623892,6,0.372148,0.500000,135.515914,1441.167980,0.294035,1.042989,0.011000,0.010673,0.250388,0.093046,47.078503,39.000000,392.745546,1,9
0.704161,7,0.970284,0.956790,124.151351,757.986067,0.330627,1.014097,0.009750,0.009987,0.235711,0.203211,27.946798,39.000000,146.951566,1,10
0.571124,6,0.618409,1.217318,161.653066,1028.557115,0.257409,0.997618,0.011000,0.011241,0.506440,0.181770,30.757971,39.000000,453.863880,1,11
0.570755,3,0.389407,0.500000,139.091894,1847.122835,0.286168,1.042989,0.014750,0.012828,0.209249,0.063653,55.200622,39.000000,515.019667,1,12
0.697090,3,0.789079,0.722712,127.407525,1000.029291,0.317502,1.028902,0.014750,0.012191,0.164522,0.144787,36.500637,39.000000,144.774159,1,13
0.665899,7,0.492406,1.272852,141.737714,754.049348,0.295193,0.994106,0.009750,0.009955,0.641974,0.217883,26.290979,39.000000,420.540649,1,14
0.532466,7,0.594331,0.888191,152.958394,1368.233812,0.266256,1.018436,0.009750,0.011301,0.362930,0.135637,38.146171,39.000000,430.271105,1,15
0.579021,7,0.716705,1.377935,167.589659,918.490329,0.250885,0.987459,0.009750,0.010588,0.541807,0.204102,27.846302,39.000000,458.153233,1,16
0.691636,3,0.789369,1.007580,136.792252,807.753991,0.300947,1.010884,0.014750,0.012464,0.278702,0.192827,29.251984,39.000000,197.713081,1,17
0.800000,2,0.798886,0.756961,121.643886,770.537099,0.333948,1.026736,0.016000,0.012793,0.157354,0.171635,32.276183,39.000000,121.643886,1,18
0.657013,7,0.669261,0.675696,125.929612,1084.347215,0.320026,1.031876,0.009750,0.010163,0.207373,0.140194,37.302759,39.000000,191.389070,1,19
