D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid,seed,iteration
0.567940,0.490162,0.93001,5.0,188.078413,1337.327507,630.918725,0.01225,0.012308,0.421802,0.126662,39.768476,39.0,2.3545553737970186,0.0,5,0
0.800000,0.419654,1.058478,6.0,142.989176,645.498286,365.855817,0.011,0.009943,0.538841,0.210598,27.038569,39.0,1.5586235386850777,0.0,5,0
0.719303,1.012146,1.228582,6.0,167.204772,686.807662,240.392239,0.011,0.010533,0.318309,0.2214,25.866983,39.0,0.43771002710027096,0.0,5,0
0.559023,0.995536,1.279166,7.0,210.104072,1075.519034,476.706469,0.00975,0.011398,0.37521,0.176628,31.480841,39.0,1.2688818983538626,0.0,5,0
0.639638,0.689121,0.821157,2.0,187.000385,1193.117624,341.666801,0.016,0.015033,0.226354,0.125578,39.959125,39.0,0.8270902014214478,0.0,5,0
0.743349,0.600299,1.279276,4.0,174.209299,676.721842,394.565721,0.0135,0.011356,0.491435,0.216979,26.339138,39.0,1.2648966028970547,0.0,5,0
0.500000,0.540572,1.136668,4.0,238.260576,1557.651824,1002.390532,0.0135,0.014017,0.499839,0.121184,40.779229,39.0,3.2071337042368686,0.0,5,0
0.685328,0.479854,1.03331,3.0,176.046669,921.12977,460.423513,0.01475,0.012862,0.434215,0.166026,33.053555,39.0,1.6153433799525376,0.0,5,0
0.545245,0.315362,1.3856,3.0,249.670314,1319.644011,1634.215283,0.01475,0.013828,0.903398,0.138018,37.674436,39.0,5.545508556854903,0.0,5,0
0.581425,0.816433,1.053044,2.0,212.827056,1177.827501,439.284926,0.016,0.01603,0.306242,0.148505,35.857009,39.0,1.0640377479828433,0.0,5,0
0.739504,0.826006,0.660173,4.0,148.07487,1013.527501,160.176356,0.0135,0.011334,0.139408,0.129625,39.244111,39.0,0.08173080896570484,0.0,5,0
0.764770,0.3,0.984886,5.0,146.38902,757.633429,513.715253,0.01225,0.010552,0.647148,0.184412,30.338113,39.0,2.5092510248790747,0.0,5,0
0.651736,0.399246,1.194053,5.0,183.431744,925.012321,690.724025,0.01225,0.011365,0.662857,0.176031,31.565893,39.0,2.765569700791338,0.0,5,0
0.800000,0.336476,1.105526,7.0,145.217781,631.432393,478.088176,0.00975,0.009568,0.710825,0.215911,26.449378,39.0,2.292212995169306,0.0,5,0
0.565275,0.737751,0.955368,7.0,187.665397,1252.87751,462.581073,0.00975,0.011467,0.327116,0.141291,37.082341,39.0,1.464927485327303,0.0,5,0
0.683297,0.439414,1.3413,4.0,192.711426,809.130222,668.748089,0.0135,0.011632,0.676357,0.194904,28.948539,39.0,2.4702058449287856,0.0,5,0
0.522184,0.591554,0.5,7.0,198.922442,2167.560135,762.048126,0.00975,0.011606,0.168555,0.053487,59.264289,39.0,2.8308409285586227,0.0,5,0
0.679644,0.391279,1.4,6.0,190.699684,791.070241,782.644077,0.011,0.010386,0.825727,0.201197,28.151095,39.0,3.104072128312053,0.0,5,0
0.750642,1.05,1.4,5.0,172.942449,590.652524,255.657728,0.01225,0.010598,0.364897,0.246839,23.214722,39.0,0.4782793642819815,0.0,5,0
0.623287,0.518787,0.789558,3.0,175.170257,1279.436256,446.990697,0.01475,0.01336,0.288285,0.116192,41.754668,39.0,1.5517413671306204,0.0,5,0
0.540660,0.876215,0.5,4.0,205.201359,2234.183262,546.254893,0.0135,0.013028,0.093122,0.045641,63.247217,39.0,1.6620381422107537,0.0,5,0
0.654144,0.897571,1.334344,3.0,193.363335,795.71674,376.589646,0.01475,0.013058,0.406633,0.208789,27.254009,39.0,0.9475786559636763,0.0,5,0
0.794775,1.05,0.635598,5.0,143.07767,910.914624,143.07767,0.01225,0.010398,0.100611,0.136695,37.907101,39.0,0.0,1.0,5,0
0.520450,0.501888,0.612064,3.0,196.165514,2106.640224,835.87138,0.01475,0.014309,0.219001,0.057798,57.407421,39.0,3.2610609004117785,0.0,5,0
0.582080,0.411351,0.830451,4.0,180.395574,1399.470781,670.195257,0.0135,0.012761,0.405282,0.11191,42.652596,39.0,2.7151557268684314,0.0,5,0
0.800000,0.316793,0.676708,6.0,138.584984,832.368067,351.805382,0.011,0.009983,0.391988,0.154414,34.866152,39.0,1.5385522038157162,0.0,5,0
0.691327,0.632566,0.782463,6.0,151.884532,987.632802,264.0837,0.011,0.010688,0.259293,0.149129,35.750127,39.0,0.7387161450824452,0.0,5,0
0.555225,0.405615,1.3528,6.0,227.154323,1185.651061,1167.339052,0.011,0.01157,0.798628,0.156911,34.468673,39.0,4.138953126195376,0.0,5,0
0.731866,0.767123,0.811981,2.0,166.861406,930.884077,214.653489,0.016,0.014025,0.192451,0.149602,35.671879,39.0,0.2864199676474913,0.0,5,0
0.710793,0.361272,1.192139,6.0,166.449589,775.089449,621.785131,0.011,0.010401,0.730931,0.195668,28.846537,39.0,2.7355673896600363,0.0,5,0
0.695515,1.05,1.381317,5.0,183.990442,686.652855,295.172041,0.01225,0.011038,0.367577,0.229123,25.005891,39.0,0.6042780515269092,0.0,5,1
0.514901,0.419654,1.357141,6.0,245.346174,1368.78049,1379.448731,0.011,0.012024,0.788127,0.14233,36.902559,39.0,4.622484724454928,0.0,5,1
0.783155,0.3,1.228582,6.0,154.605464,644.4444,618.332389,0.011,0.009867,0.864431,0.216139,26.42603,39.0,2.99942166846335,0.0,5,1
0.731239,0.530994,1.279166,7.0,165.449997,675.197028,447.642733,0.00975,0.009901,0.59598,0.221524,25.851651,39.0,1.7056141056749643,0.0,5,1
0.694871,1.047988,1.365798,4.0,180.615139,688.734458,288.925718,0.0135,0.011681,0.365751,0.228641,25.05847,39.0,0.599673724310163,0.0,5,1
0.743349,0.37869,1.4,7.0,174.703723,655.789842,668.735843,0.00975,0.009617,0.858839,0.224367,25.52443,39.0,2.8278311872958146,0.0,5,1
0.782202,0.540572,1.311123,4.0,168.282975,614.61739,400.631427,0.0135,0.010995,0.54168,0.22753,25.172285,39.0,1.3806970509383378,0.0,5,1
0.685328,0.479854,1.4,3.0,203.616864,788.934974,666.805774,0.01475,0.012497,0.654634,0.1999,28.309915,39.0,2.2748074037018515,0.0,5,1
0.532080,0.993364,1.3856,7.0,228.187919,1139.875874,585.845281,0.00975,0.011501,0.42222,0.17482,31.756527,39.0,1.567417519669529,0.0,5,1
0.569996,0.678109,1.248909,6.0,208.83167,1094.536137,616.515117,0.011,0.01171,0.48789,0.168727,32.666369,39.0,1.952226052082162,0.0,5,1
0.739504,1.033156,1.12471,6.0,158.148697,685.624067,199.878522,0.011,0.010466,0.271781,0.21504,26.547584,39.0,0.2638625372023809,0.0,5,1
0.605815,1.05,0.984886,5.0,183.111694,1090.931853,270.378249,0.01225,0.012125,0.230439,0.156063,34.60477,39.0,0.47657676707483515,0.0,5,1
0.651736,0.532599,0.827056,5.0,161.635648,1092.722556,373.320859,0.01225,0.011473,0.323599,0.140108,37.288977,39.0,1.3096397065121193,0.0,5,1
0.617452,1.05,1.4,7.0,198.270193,850.509064,393.021064,0.00975,0.010646,0.392353,0.206707,27.496707,39.0,0.9822748860527857,0.0,5,1
0.786377,0.796178,1.097961,5.0,150.009134,636.188933,217.464453,0.01225,0.010587,0.316495,0.218321,26.194835,39.0,0.4496773100159858,0.0,5,1
0.683297,0.820051,1.3413,4.0,189.097133,742.80732,377.051128,0.0135,0.011836,0.428334,0.214816,26.575681,39.0,0.993957619544168,0.0,5,1
0.522184,0.591554,1.103532,4.0,225.366757,1438.254706,782.164757,0.0135,0.013755,0.445001,0.129218,39.324004,39.0,2.470646907392168,0.0,5,1
0.633021,0.678685,0.779213,6.0,163.728176,1165.66957,308.034765,0.011,0.011156,0.248238,0.132931,38.636,39.0,0.8814034463011499,0.0,5,1
0.653159,0.552403,1.00129,5.0,170.294274,975.602242,420.844312,0.01225,0.011523,0.405151,0.163944,33.36492,39.0,1.4712767774361974,0.0,5,1
0.800000,0.783799,1.4,2.0,168.311885,540.824141,298.969165,0.016,0.012936,0.44933,0.252961,22.653989,39.0,0.7762817193164164,0.0,5,1
0.500000,0.742658,0.90398,7.0,207.691741,1636.118743,640.814704,0.00975,0.012186,0.309635,0.111091,42.833489,39.0,2.085415602812391,0.0,5,1
0.500000,0.3,0.5,3.0,194.87531,2570.051395,1542.286371,0.01475,0.014189,0.282056,0.039234,67.283788,39.0,6.914296037314574,0.0,5,1
0.794775,0.492514,1.050752,7.0,142.307358,638.830222,318.18814,0.00975,0.009661,0.479977,0.214666,26.584491,39.0,1.2359246457287132,0.0,5,1
0.520450,0.541256,0.748681,5.0,193.656415,1774.31549,708.781827,0.01225,0.012761,0.295625,0.087459,48.351339,39.0,2.659977079541474,0.0,5,1
0.586451,0.631793,0.685702,3.0,182.865949,1554.646925,447.708593,0.01475,0.013712,0.200283,0.090046,47.737753,39.0,1.4482747868007064,0.0,5,1
0.500000,0.583243,1.193948,7.0,227.60102,1439.561774,951.216991,0.00975,0.012034,0.550382,0.137958,37.687639,39.0,3.179285133984327,0.0,5,1
0.793653,0.984743,1.037653,6.0,144.915404,632.661088,163.403554,0.011,0.010131,0.245142,0.217405,26.290581,39.0,0.12758216232377367,0.0,5,1
0.624638,0.405615,0.865604,6.0,168.425145,1148.464592,563.952757,0.011,0.011204,0.461604,0.138613,37.561634,39.0,2.348371620381371,0.0,5,1
0.707545,0.767123,0.731784,3.0,159.445177,1043.554476,207.031327,0.01475,0.0126,0.172421,0.13279,38.660521,39.0,0.2984486783643347,0.0,5,1
0.662212,0.361272,1.192139,6.0,177.677108,889.327014,728.469939,0.011,0.01076,0.741853,0.180941,30.835959,39.0,3.099971814016724,0.0,5,1
0.687845,0.767878,1.233429,5.0,177.847932,768.512071,350.013486,0.01225,0.01123,0.403694,0.205124,27.678311,39.0,0.9680485949961974,0.0,5,2
0.514901,0.530225,0.5,4.0,195.747523,2360.635324,854.902398,0.0135,0.013177,0.167917,0.044952,63.643138,39.0,3.3673487271756546,0.0,5,2
0.783155,0.465544,0.5,4.0,138.631664,1079.243716,239.55277,0.0135,0.010777,0.166591,0.104562,44.255372,39.0,0.7279801131518582,0.0,5,2
0.749669,0.846856,0.5,7.0,151.525092,1150.164506,175.732345,0.00975,0.009771,0.096325,0.100783,45.146946,39.0,0.1597632170709242,0.0,5,2
0.639638,1.012278,1.224478,5.0,187.89411,863.454512,313.365473,0.01225,0.011708,0.325474,0.195154,28.918261,39.0,0.6677803170829191,0.0,5,2
0.743349,0.37869,1.27316,2.0,187.415797,744.881626,621.080856,0.016,0.013516,0.644715,0.194548,28.99203,39.0,2.313912247877131,0.0,5,2
0.641220,0.540572,1.136668,2.0,206.846763,993.769468,563.352608,0.016,0.015046,0.446515,0.163947,33.365029,39.0,1.7235326050491926,0.0,5,2
