D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.602868,0.48707,0.700114,2.0,110.153033,1284.921666,0.0,0.016,0.013734,0.242432,0.122598,40.559981,39.0,1.0174542836976888,0.0
0.613615,0.775298,0.589381,6.0,102.131136,1259.044522,0.0,0.011,0.010299,0.143655,0.123178,40.451578,39.0,0.203459049856139,0.0
0.722193,0.453679,0.930503,6.0,91.091826,706.441152,0.0,0.011,0.009665,0.435008,0.214272,26.713318,39.0,1.030167264038232,0.0
0.707210,0.996351,1.387676,3.0,105.831593,557.982114,0.0,0.01475,0.011345,0.389008,0.279004,20.661752,39.0,0.394273917219825,0.0
0.738684,0.344611,0.924684,2.0,94.835847,762.095401,0.0,0.016,0.012374,0.449847,0.191349,29.475864,39.0,1.3509242274587274,0.0
0.775038,0.785814,0.588164,2.0,97.437192,909.705506,0.0,0.016,0.01221,0.105103,0.142516,36.916686,39.0,0.0,1.0
0.730060,1.027114,0.696455,5.0,91.262613,837.889263,0.0,0.01225,0.010034,0.123713,0.173425,32.029015,39.0,0.0,1.0
0.693075,0.862542,0.543091,3.0,104.243381,1154.216789,0.0,0.01475,0.011552,0.092805,0.115785,41.885727,39.0,0.07399300000000007,0.0
0.703763,0.640141,1.291738,3.0,114.409642,633.077097,0.0,0.01475,0.011602,0.469291,0.24665,23.328237,39.0,0.9026596391648084,0.0
0.711145,0.683997,0.597356,6.0,90.388318,946.609185,0.0,0.011,0.009634,0.158328,0.152543,35.247435,39.0,0.037923732980208756,0.0
0.654992,0.375589,0.789045,3.0,98.137214,1004.745462,0.0,0.01475,0.011806,0.374745,0.157326,34.458027,39.0,1.3819648373441136,0.0
0.694405,0.503323,0.514782,2.0,95.828108,1207.953233,0.0,0.016,0.012425,0.143197,0.106278,43.919938,39.0,0.47353365237179124,0.0
0.514072,0.547406,1.174017,6.0,134.402258,1189.232795,0.0,0.011,0.011332,0.542274,0.173603,32.010296,39.0,2.152941741075277,0.0
0.722008,0.946231,0.95001,4.0,95.588135,693.701265,0.0,0.0135,0.010793,0.217507,0.218864,26.22485,39.0,0.0,1.0
0.568600,0.987158,0.865757,7.0,113.890965,1106.502858,0.0,0.00975,0.010607,0.212437,0.167257,32.942607,39.0,0.35091892449441486,0.0
0.754261,0.740188,0.535685,2.0,99.971189,1024.312122,0.0,0.016,0.012267,0.097192,0.123144,40.45318,39.0,0.03726102564102572,0.0
0.520269,0.814889,1.029164,7.0,124.916954,1184.137873,0.0,0.00975,0.01101,0.336145,0.172032,32.25734,39.0,1.0684092833371857,0.0
0.712584,0.612447,0.562973,2.0,97.643151,1086.530557,0.0,0.016,0.012492,0.132359,0.122689,40.539313,39.0,0.11828673597616318,0.0
0.635321,0.672546,0.813721,5.0,100.048941,971.431899,0.0,0.01225,0.010727,0.254546,0.17164,32.314995,39.0,0.48302260545327436,0.0
0.591619,0.888943,1.153056,5.0,119.063481,886.535885,0.0,0.01225,0.011218,0.336791,0.207681,27.46229,39.0,0.6216745874682806,0.0
0.612960,0.893533,0.732691,4.0,105.806848,1127.734567,0.0,0.0135,0.011542,0.161397,0.146802,36.194111,39.0,0.09941962643560733,0.0
