D, Z, AEdAO, PdD, P_B, n,etaO,etaR, t075dD,tmin075dD, tal07R,cavLim, Vtip,Vtipmax, fitness, iteration, population i 
0.781159,4,0.466008,1.282992,130.713041,585.174077,0.321050,0.993464,0.013500,0.010559,0.588180,0.239875,23.934424,39.000000,0.000000,0,1
0.686402,3,0.830206,0.548492,134.062843,1265.670949,0.298478,1.039922,0.014750,0.012093,0.099949,0.099498,45.488112,39.000000,0.000000,0,2
0.690622,4,1.044765,0.510962,143.565252,1333.184481,0.278105,1.042295,0.013500,0.011294,0.069252,0.088122,48.209153,39.000000,0.000000,0,3
0.682117,3,0.379467,0.842457,125.876323,978.507838,0.323654,1.021328,0.014750,0.012148,0.402030,0.154150,34.947962,39.000000,0.000000,0,4
0.673737,6,0.479904,0.808180,122.838678,947.819690,0.330873,1.023496,0.011000,0.010402,0.352633,0.163684,33.436052,39.000000,0.000000,0,5
0.588781,3,0.608552,0.511283,143.064961,1734.072408,0.278505,1.042275,0.014750,0.012807,0.134284,0.068812,53.458835,39.000000,0.000000,0,6
0.624097,3,0.961426,0.875248,143.160955,1059.322062,0.284811,1.019254,0.014750,0.013098,0.195740,0.156182,34.616149,39.000000,0.000000,0,7
0.504714,3,1.045947,0.691093,170.873161,1882.230510,0.235328,1.030902,0.014750,0.014405,0.129129,0.082022,49.741246,39.000000,0.000000,0,8
0.776378,4,0.798433,0.796792,113.004392,751.135786,0.360176,1.024217,0.013500,0.010767,0.188728,0.183276,30.534478,39.000000,0.000000,0,9
0.772923,3,0.495238,1.130424,129.617067,644.088406,0.320609,1.003114,0.014750,0.011614,0.458310,0.219969,26.066345,39.000000,0.000000,0,10
0.635178,2,0.357532,0.798300,135.003161,1196.729001,0.300641,1.024121,0.016000,0.013905,0.377589,0.126619,39.800600,39.000000,0.000000,0,11
0.560366,3,0.341311,0.538064,139.260059,1834.357835,0.286391,1.040581,0.014750,0.012968,0.263079,0.067691,53.821372,39.000000,0.000000,0,12
0.607335,3,0.826907,0.605879,144.392956,1467.967063,0.277631,1.036292,0.014750,0.012914,0.124255,0.094851,46.681301,39.000000,0.000000,0,13
0.685598,2,0.819770,0.788010,138.627765,987.289668,0.292905,1.024772,0.016000,0.013915,0.176611,0.151252,35.441576,39.000000,0.000000,0,14
