D, Z, AEdAO, PdD, P_B, n,etaO,etaR, t075dD,tmin075dD, tal07R,cavLim, Vtip,Vtipmax, fitness, iteration, population i 
0.511022,7,0.300000,0.790917,159.196296,1628.353318,0.254183,1.024588,0.009750,0.011470,0.585753,0.107787,43.569930,39.000000,907.655730,1,1
0.650663,4,0.517100,0.736224,126.717653,1109.430990,0.319176,1.028047,0.013500,0.011581,0.270880,0.137483,37.796799,39.000000,249.668433,1,2
0.693058,4,0.913138,0.743420,124.443486,969.816997,0.325452,1.027592,0.013500,0.011363,0.155444,0.152693,35.193138,39.000000,126.685724,1,3
0.721045,5,0.703731,0.635767,115.319387,982.846486,0.349089,1.034401,0.012250,0.010401,0.162986,0.141284,37.106217,39.000000,133.033339,1,4
0.571600,2,0.454390,0.566125,144.405815,1777.461846,0.276735,1.038806,0.016000,0.014405,0.195533,0.069638,53.197489,39.000000,458.042233,1,5
0.680258,6,1.012780,0.587497,126.813020,1163.350130,0.316252,1.037454,0.011000,0.010265,0.101383,0.117897,41.436455,39.000000,134.735437,1,6
0.729334,5,0.799945,0.871720,118.023552,779.859101,0.346144,1.019477,0.012250,0.010538,0.229500,0.188784,29.781134,39.000000,143.478360,1,7
0.677744,6,0.465578,1.091607,131.336605,799.343847,0.315025,1.005570,0.011000,0.010349,0.535630,0.199766,28.365981,39.000000,352.151158,1,8
0.524798,2,0.861542,0.500000,186.954911,2312.109503,0.212671,1.042989,0.016000,0.015521,0.084863,0.045171,63.532975,39.000000,468.835982,1,9
0.607093,5,1.011385,1.188815,153.079042,895.819807,0.271540,0.999421,0.012250,0.011575,0.315336,0.198915,28.475707,39.000000,242.672815,1,10
0.693333,4,0.513970,1.189936,140.825550,753.573085,0.295709,0.999350,0.013500,0.011327,0.511190,0.208226,27.356852,39.000000,345.723878,1,11
0.674246,3,0.973451,0.564874,141.484660,1296.428349,0.283036,1.038885,0.014750,0.012321,0.087706,0.098375,45.768378,39.000000,166.039061,1,12
0.591115,2,0.667619,1.218937,176.965946,991.528265,0.235249,0.997516,0.016000,0.015065,0.439361,0.182254,30.688503,39.000000,426.614494,1,13
0.708640,3,0.304138,1.193354,138.669128,778.941570,0.300472,0.999134,0.014750,0.011820,0.742316,0.195538,28.902076,39.000000,526.424978,1,14
0.644069,3,0.400125,1.400000,169.468007,845.243827,0.248787,0.986064,0.014750,0.012284,0.750296,0.198670,28.504474,39.000000,640.013657,1,15
0.728059,2,0.989486,1.400000,128.318143,565.731491,0.329142,0.986064,0.016000,0.012826,0.406089,0.266506,21.566301,39.000000,195.525059,1,16
0.503491,2,0.719889,0.500000,181.178365,2463.936102,0.219363,1.042989,0.016000,0.015635,0.105753,0.042806,64.956075,39.000000,568.185751,1,17
0.577340,5,0.700113,1.273232,167.691270,986.013297,0.249043,0.994082,0.012250,0.011719,0.473107,0.188652,29.806641,39.000000,420.540791,1,18
0.508919,7,0.448096,1.251379,182.129900,1295.897788,0.228658,0.995464,0.009750,0.011347,0.711275,0.156729,34.531706,39.000000,852.187234,1,19
0.558207,6,0.329359,1.268960,170.134774,1131.931227,0.245300,0.994352,0.011000,0.011136,0.876327,0.166089,33.083690,39.000000,899.748077,1,20
0.552554,6,0.885676,1.400000,180.079212,990.589182,0.233686,0.986064,0.011000,0.011292,0.459094,0.197484,28.659389,39.000000,423.294926,1,21
0.733237,2,0.863846,1.085224,135.969674,688.493723,0.304508,1.005973,0.016000,0.013528,0.281418,0.216503,26.432788,39.000000,176.737801,1,22
0.774998,2,0.438388,0.806299,117.063667,808.974521,0.347880,1.023615,0.016000,0.012695,0.299912,0.167772,32.827199,39.000000,209.265356,1,23
0.779472,4,0.957513,1.225379,125.464568,556.256985,0.333252,0.997108,0.013500,0.010780,0.313268,0.252992,22.702549,39.000000,155.356498,1,24
0.500000,6,0.688441,1.384713,198.607230,1243.793593,0.211432,0.987031,0.011000,0.011841,0.560869,0.169714,32.562440,39.000000,670.457151,1,25
0.695916,3,1.028920,0.594479,137.520795,1179.334913,0.291861,1.037013,0.014750,0.012182,0.088756,0.110536,42.972696,39.000000,151.529213,1,26
0.681615,3,0.416570,0.837750,126.895131,977.427891,0.320949,1.021626,0.014750,0.012196,0.367660,0.154536,34.883675,39.000000,301.898820,1,27
0.800000,7,0.300000,0.663462,113.705086,771.014003,0.355211,1.032650,0.009750,0.009378,0.408723,0.171510,32.296159,39.000000,270.968554,1,28
0.613154,4,1.012858,1.081910,147.738209,935.224908,0.279489,1.006183,0.013500,0.012252,0.269731,0.187019,30.025097,39.000000,213.077419,1,29
0.600018,7,0.593636,1.358303,162.066362,880.542769,0.259218,0.988701,0.009750,0.010405,0.612325,0.205626,27.663878,39.000000,492.809530,1,30
best fit at iteration 1,126.685724
0.511022,7,0.300000,0.790917,159.196296,1628.353318,0.254183,1.024588,0.009750,0.011470,0.585753,0.107787,43.569930,39.000000,907.655730,2,1
0.570452,5,0.517100,1.271694,170.023814,1047.380124,0.245571,0.994179,0.012250,0.011689,0.596618,0.178156,31.283991,39.000000,569.384632,2,2
0.693058,4,0.727429,0.743420,122.439667,971.452702,0.330765,1.027592,0.013500,0.011312,0.194480,0.152346,35.252495,39.000000,156.303048,2,3
0.572184,5,0.703731,1.400000,178.765370,958.696825,0.235503,0.986064,0.012250,0.011589,0.535656,0.196985,28.722076,39.000000,486.111404,2,4
0.705995,4,0.751981,0.500000,125.899928,1240.892846,0.317014,1.042989,0.013500,0.010974,0.101234,0.097966,45.870637,39.000000,152.280159,2,5
0.574032,2,0.300000,0.587497,134.933482,1743.625236,0.296567,1.037454,0.016000,0.014122,0.304064,0.072225,52.406809,39.000000,614.446023,2,6
0.662387,5,0.799945,0.871720,128.205141,932.661334,0.318215,1.019477,0.012250,0.011044,0.237762,0.171197,32.347009,39.000000,178.053887,2,7
0.775038,6,0.465578,0.500000,115.062875,975.855962,0.347373,1.042989,0.011000,0.009657,0.180577,0.127720,39.601104,39.000000,164.454705,2,8
0.524798,2,0.861542,1.344543,186.095488,1105.961351,0.225193,0.989571,0.016000,0.015680,0.459501,0.184394,30.390003,39.000000,463.741772,2,9
0.607093,2,0.343399,0.820364,141.156712,1287.540900,0.287750,1.022726,0.016000,0.014239,0.410449,0.120523,40.927468,39.000000,487.692905,2,10
0.757267,4,0.938206,1.181014,127.282651,601.548821,0.327423,0.999915,0.013500,0.010971,0.304400,0.240731,23.851662,39.000000,160.946707,2,11
0.673152,3,0.973451,1.400000,145.495958,665.643074,0.289949,0.986064,0.014750,0.012152,0.412001,0.244790,23.461367,39.000000,244.881741,2,12
0.500000,7,0.674930,1.400000,196.206813,1223.030559,0.214232,0.986064,0.009750,0.011342,0.594171,0.173352,32.018865,39.000000,700.045770,2,13
0.800000,2,1.050000,1.356245,115.001464,482.577742,0.366779,0.988831,0.016000,0.012265,0.352213,0.283970,20.214169,39.000000,142.638159,2,14
0.800000,3,0.300000,1.400000,134.559585,578.160518,0.314332,0.986064,0.014750,0.010834,0.880595,0.237021,24.217931,39.000000,499.924138,2,15
0.707056,2,1.050000,1.400000,126.361531,589.083689,0.334091,0.986064,0.016000,0.012933,0.397781,0.263558,21.808689,39.000000,190.714089,2,16
0.503491,2,0.300000,0.500000,152.012801,2451.367829,0.261468,1.042989,0.016000,0.014929,0.256367,0.043342,64.624741,39.000000,999.024074,2,17
0.577340,7,0.700113,1.273232,160.366236,958.525279,0.260425,0.994082,0.009750,0.010731,0.500130,0.195031,28.975694,39.000000,425.900319,2,18
0.700683,6,0.448096,1.251379,135.824770,706.991277,0.307855,0.995464,0.011000,0.010073,0.648242,0.221171,25.937852,39.000000,398.095663,2,19
0.558207,6,1.050000,1.188815,164.066601,1042.614343,0.253092,0.999421,0.011000,0.011532,0.315725,0.183789,30.473167,39.000000,289.415408,2,20
0.552554,2,0.300000,1.230346,186.841500,1276.445763,0.222809,0.996794,0.016000,0.015003,0.781649,0.142331,36.929695,39.000000,1026.087570,2,21
0.690442,2,0.863846,1.085224,143.096272,768.609096,0.289092,1.005973,0.016000,0.013967,0.288835,0.204550,27.786358,39.000000,202.058633,2,22
0.774998,3,0.438388,0.500000,109.549818,1049.953113,0.364833,1.042989,0.014750,0.011084,0.165930,0.112213,42.605816,39.000000,172.119613,2,23
0.679204,4,0.408612,1.225379,144.646130,792.737556,0.288473,0.997108,0.013500,0.011321,0.638936,0.201183,28.192149,39.000000,459.381920,2,24
0.500000,6,0.688441,1.289377,189.585977,1282.339412,0.220150,0.993061,0.011000,0.011978,0.513164,0.162843,33.571567,39.000000,612.918971,2,25
0.695916,2,0.578202,1.400000,161.451734,688.667151,0.261428,0.986064,0.016000,0.013396,0.568254,0.228722,25.093706,39.000000,401.122617,2,26
0.681615,3,0.464493,1.301254,155.442948,766.626257,0.269735,0.992309,0.014750,0.012197,0.605088,0.208202,27.360321,39.000000,451.757823,2,27
0.800000,7,0.300000,1.400000,128.721645,538.359347,0.328587,0.986064,0.009750,0.008915,1.011427,0.254694,22.550744,39.000000,511.171818,2,28
0.500000,4,1.050000,1.081910,176.815336,1370.260880,0.232978,1.006183,0.013500,0.013614,0.278043,0.148611,35.873346,39.000000,332.292911,2,29
0.708193,7,0.522703,0.500000,125.896176,1139.322890,0.317064,1.042989,0.009750,0.009768,0.170370,0.113918,42.247124,39.000000,198.999757,2,30
best fit at iteration 2,142.638159
0.661734,2,0.300000,0.790917,125.587393,1125.992605,0.323229,1.024588,0.016000,0.013442,0.429590,0.131162,39.013766,39.000000,411.377515,3,1
0.500000,4,1.039980,0.500000,184.581910,2461.159131,0.215300,1.042989,0.013500,0.013129,0.075456,0.043657,64.432995,39.000000,439.401505,3,2
0.693058,4,0.913138,0.743420,124.443486,969.816997,0.325452,1.027592,0.013500,0.011363,0.155444,0.152693,35.193138,39.000000,126.685724,3,3
