D,AEdAO,PdD,Z,P_B,n,fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.541518,0.301994,0.593695,3.0,224.523326,2160.952491,0.0,0.01475,0.014293,0.339492,0.049289,61.271305,39.0,6.458843395205463,0.0
0.776390,0.920649,0.561878,5.0,180.19972,1108.278815,0.0,0.01225,0.010773,0.097141,0.101055,45.053412,39.0,0.15521569230769236,0.0
0.681699,0.395967,1.127047,2.0,237.45346,997.395085,0.0,0.016,0.014876,0.545091,0.149855,35.600701,39.0,2.6374562076674124,0.0
0.670410,0.741231,0.52912,6.0,197.029175,1454.164479,0.0,0.011,0.011009,0.126393,0.076836,51.044945,39.0,0.9546333638271547,0.0
0.718480,0.460451,1.290021,6.0,213.130613,771.699253,0.0,0.011,0.010676,0.65801,0.193931,29.030979,39.0,2.3930109162537194,0.0
0.555021,0.631249,1.12616,6.0,252.73147,1311.189947,0.0,0.011,0.012379,0.455693,0.135545,38.104251,39.0,2.473329797767559,0.0
0.524406,0.766629,1.264291,7.0,276.652284,1337.702719,0.0,0.00975,0.01218,0.471433,0.143139,36.730404,39.0,2.493040248830437,0.0
0.711090,0.770457,0.621311,5.0,184.646597,1192.35936,0.0,0.01225,0.011256,0.145317,0.103854,44.39463,39.0,0.5375670144477973,0.0
0.544294,0.4306,1.334781,7.0,282.700669,1299.078204,0.0,0.00975,0.011728,0.782032,0.14146,37.022628,39.0,4.6969468902455365,0.0
0.651280,1.034738,1.145915,3.0,224.164571,932.782491,0.0,0.01475,0.01382,0.287365,0.174199,31.808769,39.0,0.6496363354554274,0.0
0.512169,0.866337,0.70992,6.0,245.78998,1981.403174,0.0,0.011,0.01281,0.181195,0.069708,53.135489,39.0,2.1030872720515688,0.0
0.595423,0.672864,1.094951,4.0,246.581851,1189.040621,0.0,0.0135,0.013387,0.387474,0.141177,37.069868,39.0,1.7445972077604708,0.0
0.765584,0.927318,0.867327,7.0,179.317859,804.463507,0.0,0.00975,0.0103,0.207369,0.171359,32.247619,39.0,0.26354167487017116,0.0
0.521736,0.827835,0.697899,5.0,242.006708,1966.905261,0.0,0.01225,0.01324,0.178046,0.067843,53.731991,39.0,2.076899538963941,0.0
